Portada Imagen,URL - IMDb / FilmAffinity,Trailer,Título,Resumen,Tiempo (min),Año,Género,Production Co.,Directores,Actores Protagónicos,Locación,Presupuesto,Taquilla,Idioma,Latitud,Longitud
"https://m.media-amazon.com/images/M/MV5BMTMxMDIzNjk5Nl5BMl5BanBnXkFtZTcwODk3MTAyMw@@._V1_UY290_CR2,0,196,290_.jpg",https://pro.imdb.com/title/tt0382215/?rf=cons_tt_atf_allow&ref_=cons_tt_atf_allow,https://www.youtube.com/watch?v=ycpgUTl8s8o,Paloma de papel,"Juan, un joven condenado por terrorismo, recibe amnistía de una prisión en Lima; aborda un autobús para regresar a casa y, en su mente, recuerda eventos en su aldea cerca de Huaraz cuando tenía 10 o 12 años. Su padre ha muerto hace mucho, su madre vive con Fermín, quien es secretamente simpatizante de los guerrilleros comunistas en las colinas. Los líderes del pueblo son asesinados por la noche. Cuando Juan descubre el secreto de Fermín, es llevado a los guerrilleros para aprender eslóganes marxistas y cómo luchar. Cuando la banda decide atacar el pueblo para vengar la muerte de un compañero, Juan debe elegir. No hay héroes en ninguno de los lados: el pensamiento crítico sin amor por la vida no da frutos",90,2003,Drama,Iguana Producciones,Fabrizio Aguilar,"Antonio Callirgos, Sandro Calderón, Aristóteles Picho, Eduardo Cesti",Huaraz,-,-,Español,-953,-7.752.778
https://m.media-amazon.com/images/M/MV5BOGRmNThiMDMtOGZiNC00YjdhLTlkODUtZDU3MTQ3OWY5MGYxXkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt6263732,https://www.youtube.com/watch?v=p3fjkvjMjnU&rco=1,Pishtaco,"Recrea la historia del Pishtaco, una leyenda de los Andes peruanos. Una criatura que se asemeja a un hombre errante, supuestamente un extranjero, que asaltaba a las personas en el camino, para matarlas y extraer la grasa de sus cuerpos, que vendía o, en ocasiones, tragaba. El mito se popularizó en los tiempos de la guerra civil peruana entre el ejército y el terrorismo.",48,2003,Horror,Magnum Producciones,José Antonio Gamboa Martínez,"Nilo Alvizuri, Medardo Diaz, Yeni Martinez",Ayacucho,-,-,Español,-1.315.878,-7.422.321
https://m.media-amazon.com/images/M/MV5BMTA1MTYzNjY0MDJeQTJeQWpwZ15BbWU3MDcwNzk5MjE@._V1_.jpg,https://pro.imdb.com/title/tt0388884/?rf=cons_tt_atf_allow&ref_=cons_tt_atf_allow,https://www.youtube.com/watch?v=EMM9-cYrbPE,El destino no tiene favoritos,"Ana es una ama de casa rica y reprimida. Para su molestia, su esposo alquila su jardín a una producción de telenovela y se va de viaje de negocios. En su aburrida soledad, Ana sigue el rodaje desde su ventana y pronto se sumerge en la telenovela tanto como sus dos sirvientas. Cuando accidentalmente la confunden con una actriz, termina siendo elegida para un papel, para gran desagrado de las otras actrices y de sus sirvientas. El set pronto se ve dominado por chismes, intrigas y chantajes, mientras la frontera entre su mundo real y el mundo de fantasía de las telenovelas comienza a desdibujarse. Ana se encuentra atrapada en una telenovela de la vida real cuando intenta que todo vuelva a la normalidad antes de que su esposo regrese a casa.",90,2003,"Romance, Comedia",Luna Llena Films,Alvaro Velarde,"Mónica Steuer,  Javier Valdez,  Paul Vega,  Celine Aguirre,  Angie Cepeda,  Bernie Paz, Elena Romero,  Tatiana Astengo,  Rebeca Ráez,  Víctor Ángeles",Lima,-,-,Español,-770.388.300,-119.291.300
https://pics.filmaffinity.com/una_chica_buena_de_la_mala_vida-355905827-mmed.jpg,https://pro.imdb.com/title/tt4367172,-,Una chica buena de la mala vida,"Una mujer que tuvo una vida muy dura tiene que cumplir dos roles en su vida: una madre respetuosa durante el día y una prostituta por las noches. Debido a la pobreza y la vida la miseria en la que creció, ella está dispuesta a hacer cualquier cosa para la comodidad de su hija y no tendrá límites en la vida.",90,2004,"Crimen, Drama, Thriller",Cine 2000,Leonidas Zegarra,"Susy Díaz, Anelhí Arias Barahona, Shirley Cherres, Jesús Delaveaux",Perú,$15.000,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BYTU0N2MxZGQtYWJkYS00YjFkLTliYTEtNTFlNjRkZWY5NjE2XkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt5649786,https://www.youtube.com/watch?v=-QmAw2HrOts,Broom Flower/ Flor de Retama,"En la era del terrorismo, un terrateniente se ve obligado a abandonar su granja y llevar a su hija con él. Después de 18 años, regresan a la hacienda ""Flor del Escobero"", donde ella conoce a un agricultor que ayuda a cambiar su percepción de la vida, hasta que un terrorista en receso complica su existencia al reavivar su doloroso pasado.",85,2004,Drama,Nova Productions,Martin Landeo,"Julio Andrade, Victor Hugo Arana, Reynaldo Arenas",Huancayo,-,-,Español,-1.206.513,-7.520.486
https://m.media-amazon.com/images/M/MV5BMTk3NzA2MDc4M15BMl5BanBnXkFtZTcwMzA1MzMzMQ@@._V1_.jpg,https://pro.imdb.com/title/tt0397405/?rf=cons_tt_atf_allow&ref_=cons_tt_atf_allow,https://www.youtube.com/watch?v=dp5jdeoDKXM,Días de Santiago,"Santiago, un soldado retirado que luchó por su país, Perú, tiene dificultades para reintegrarse a la sociedad mientras lidia con el PTSD y problemas familiares.",83,2004,Drama,"Inca Cine, Centro Cultural PUCP, Aldea Films(España), IJV Comunicación(España)",Josué Méndez,"Pietro Sibille, Milagros Vidal, Marisela Puicón, Ricardo Mejía",Perú,-,-,Español,-9.189.967,-75.015.152
https://pics.filmaffinity.com/juanito_el_huerfanito_aka_el_huerfanito-295268548-mmed.jpg,https://www.filmaffinity.com/es/film684093.html,https://www.youtube.com/watch?v=qfKjZO6evf8,El huerfanito,"Juanito es un niño de 12 años que vive en el campo. Su vida cambia desde la muerte de su madre. Margarita, su hermana mayor, se fuga con su novio y su padre cae enfermo al enterarse; entonces Juanito se ve obligado a ir a la ciudad a comprar remedios montado en un burro. ",105,2004,Drama,Contacto Producciones,Flaviano Quispe,"Vladimir Estofanero, Kenjy Hilasaca, Laureano Mamani",Perú,-,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BZTllZDkxMDctNWQxYi00MTBjLTkwZjAtYjFmMzBjZGNhZjcxXkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0389871/?rf=cons_tt_atf_allow&ref_=cons_tt_atf_allow,https://www.youtube.com/watch?v=RDWW4cKhOvg,Doble juego,"Sin que ellos lo sepan, un grupo de personas es reunido por un astuto estafador, solo para conspirar ansiosamente entre sí por la promesa de una recompensa lucrativa.",93,2004,"Drama, Comedia",Agua Dulce Films,Alberto Durant,"Fabrizio Aguilar, Fernando Cayo, Katia Condos",Lima,-,-,Español,-770.388.300,-119.291.300
https://pics.filmaffinity.com/coca_mama-173209640-mmed.jpg,https://www.filmaffinity.com/es/film899367.html,https://www.youtube.com/watch?v=I8n7RdE1e4Y,Coca Mama,"En un pueblito quechua del Perú, una vendedora ambulante conoce al Gato, un hombre que compra hojas de coca para venderla a los traficantes de drogas, y a Antonio, que se considera poeta. La joven será seducida por ambos. Se agudizará el conflicto entre los cultivadores legítimos de coca, los traficantes de drogas y las fuerzas gubernamentales.",75,2004,Drama,K&S Films,Marianne Eyde,"Óscar Carrillo, Milagros Del Carpio, Miguel Medina",Perú,-,-,Español,-9.189.967,-75.015.152
https://pics.filmaffinity.com/el_misterio_del_kharisiri-291949096-mmed.jpg,https://www.filmaffinity.com/es/film177780.html,https://www.youtube.com/watch?v=G-73mIm9K00,El misterio del Kharisiri,"Dos contrabandistas buscan cambiar su mala suerte y van donde el Kharisiri (brujo degollador) quien los ayuda a cambio de una fuerte suma de dinero.
Margot también visita al Kharisiri, porque quiere cambiar su suerte, éste le pide el corazón de alguien cercano. Mariela y Paúl trabajan como reporteros en un noticiero de televisión en Puno, ambos son enviados a Pomata para cubrir la noticia de un extraño accidente, los reporteros tienen que entrevistar al alcalde. En el camino a Pomata, Paúl pierde el bus y cuando va a buscar a Mariela se da cuenta que ha desaparecido sin dejar huella. Desesperado, Paúl busca la ayuda de la policía local y de las autoridades pero no obtiene ayuda, peor aún su jefe en el noticiero lo acusa de ser el causante de la desaparición de Mariela y le da un plazo para encontrarla, por ello Paúl no tiene otra alternativa y siguiendo los consejos de una pobladora va a ver a Máximo, un adivino, quien le confirma las sospechas de que Mariela fue raptada por el Kharisiri y las hojas de coca le dicen donde encontrar a Mariela. Ahora debe buscarla y salvarla antes de que sea tarde.",122,2004,Thriller,Pioneros Producciones,Henry Vallejo,"Israel Aparicio, María Bobadilla, Oscar Cabrera",Perú,-,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BZDAxMDUwOWYtODYxYi00NTczLTk0ZjctOTc3Yzk0ZDk0ZjQ0XkEyXkFqcGc@._V1_.jpg,https://www.imdb.com/title/tt0443769/,https://www.youtube.com/watch?v=H-nWUtyfRqU,Piratas en el Callao,"Primera película animada en 3D peruana (y latinoamericana), que narra la peripecias de un niño que, estando de visita en el Real Felipe de El Callao en 1960, se separa del grupo de sus amigos y es transportado mágicamente a la época colonial en momentos en que el puerto de El Callao es sitiado por el pirata francés Jacobo Clerk, más conocido como L'Hermite.",78,2005,"Animación, Aventura, Familiar, Fantasía",Alpamayo Entertainment,Eduardo Schuldt,"Diego Bertie, Gianfranco Brero, Stephanie Cayo, Salvador del Solar, Alberto Isola, Gonzalo Torres",Perú,$500.000,$89.595,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BYjQxNjU5MjMtZDU3OS00ZmU4LWE2NzMtOWNkMmNlYzFhZWI0XkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt4384400,https://www.youtube.com/watch?v=57j4aRHgVEY,Poseída por el diablo ... en las garras de Lucifer,Sin Descripción,90,2005,"Crimen, Drama, Fantasía",Cine 2000,Leonidas Zegarra,"Rocky Belmonte, Mariana Liquitaya, Israel Aparicio",Perú,$20.000,-,Quechua,-9.189.967,-75.015.152
https://pics.filmaffinity.com/detras_del_mar-952337074-mmed.jpg,https://www.filmaffinity.com/es/film117151.html,https://www.youtube.com/watch?v=Ywf0bvtEjX0,Detrás del mar,"El 20 de noviembre va a ser un día para recordar porque afectará a tres personas muy distintas. Sus tres historias comparten la soledad, el presentimiento y la impotencia ante el destino. El silencio reina en el ambiente, mientras el mar guarda un secreto. Considerado por la crítica especializada como uno de los ejercicios cinematográficos más interesantes del último cine peruano. ",99,2005,Drama,Intro Films,Raúl del Busto,"Natalia Peña, Antonio Requena, Ivan Tejeda",Perú,-,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BMTI5MDY4NDY2MF5BMl5BanBnXkFtZTcwMTc4NTMzMQ@@._V1_.jpg,https://pro.imdb.com/title/tt0446574,https://www.youtube.com/watch?v=SeGq1lvqwd4,Mañana te cuento,Las correrías sexuales de un grupo de chicos de la clase alta limeña son la materia prima del debut en el largometraje de Eduardo Mendoza de Echave. La comedia de situaciones y aprendizaje es aplicada aquí por el director con la suficiente solvencia como para divertir sin presiones de ot,92,2005,Drama,Aldea Films,Eduardo Mendoza de Echave,"Bruno Ascenzo, Oscar Beltrán, Jason Day",Lima,-,-,Español,-770.388.300,-119.291.300
https://m.media-amazon.com/images/M/MV5BMDFjM2RjZDEtYzE3My00MGQ3LTg1OTktYzlhOTQ4MGQ1ZTY5XkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0782869/?rf=cons_tt_atf_allow&ref_=cons_tt_atf_allow,https://www.youtube.com/watch?v=LFRqadZvsWU,Un día sin sexo,"El filme muestra a cuatro parejas (una adolescente, una de solteros de treinta, un matrimonio joven y un matrimonio adulto), cada una envuelta en situaciones tragicómicas que transcurren en un sólo día y donde el sexo es la excusa perfecta para reencontrar el amor, dándole el máximo valor a la comunicación y al compartir. ",86,2005,Drama,"	Luna Llena Films, Nawi Producciones",Frank Pérez-Garland,"Vanessa Saba, Paul Vega, Giovanni Ciccia",Lima,-,-,Español,-770.388.300,-119.291.300
https://m.media-amazon.com/images/M/MV5BY2YxZjY2YjMtMzEzMy00NmJhLWIwNzUtZmQ0YzU4MmNjMjAzXkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0499318/?rf=cons_tt_atf_allow&ref_=cons_tt_atf_allow,https://www.youtube.com/watch?v=y04HUV2ZPLM,Cuando el cielo es azul,"Sofía, una joven peruana recién graduada en Italia en Historia del Arte, regresa al Perú, e inicia la búsqueda de una misteriosa pintura desaparecida con la imagen de un ángel. Su intuición la lleva a Machu Picchu donde conoce a Matías, un enigmático médico occidental que ha adoptado las técnicas chamánicas y el uso de hierbas alucinógenas como el ayahuasca para curar a drogadictos en un centro de rehabilitación. Una mágica y extraña atracción, los envuelve, sin embargo ellos deberán preservar su amor protegiéndolo del recuerdo de Amaru, la ex mujer de Matías y de las vivencias insólitas de Sofía, en las que los que los protagonistas son ángeles de la época virreinal, espíritus, y personas de carne y hueso.",105,2005,"Fantasía, Romance",-,Sandra Wiesse,"Cécica Bernasconi, Claudia Dammert, Juan Pablo Gamboa, Andrea Montenegro",Cuzco,-,-,Español,-1.352.264,-7.196.734
https://m.media-amazon.com/images/M/MV5BZDZkNDViMDItZTU4Ni00MDUyLWJiZTItMjc3NTkwZDczOWVmXkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0769512?ref_=list_ttl_item_list_ttl_item_tt,https://www.youtube.com/watch?v=d5nxKe8PbMA,Dragones: destino de fuego,"John John es un pequeño dragón que fue adoptado por una familia de cóndores. A pesar que sus padres lo criaban como un hijo más, el pequeño John John sabía en el fondo que no era un cóndor. En su adolescencia, atormentando por saber quien es, John John emprende un viaje donde encuentra su verdadera identidad y su destino. En éste viaje descubre también sentimientos como el cariño y el amor por la naturaleza, y reafirma otros como respeto, entrega y confraternidad.",80,2006,"Animación, Aventura, Familiar",Alpamayo Entertainment,Eduardo Schuldt,"GianMarco, Elva Alcandré, Bruno Ascenzo, Rómulo Assereto, Roberto Moll",Perú,-,$846.190,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BMTQ4OTg1NDE5OF5BMl5BanBnXkFtZTcwNDY3MTAyMw@@._V1_.jpg,https://pro.imdb.com/title/tt0496799/?ref_=instant_tt_5&q=Black%20Butterfly,https://www.youtube.com/watch?v=yhhm8pQVbtw,Black Butterfly/ Mariposa Negra,"Gabriela está a punto de casarse con Guido, un conocido juez de instrucción, que es asesinado en extrañas circunstancias. El caso es tratado de forma sensacionalista por la prensa. Para averiguar lo ocurrido y así limpiar la imagen de su novio, Gabriela inicia una investigación. Se cruzará con Ángela una joven y ambiciosa periodista, y con Osman el director de un influyente periódico, fiel al régimen de Fujimori y responsable del encubrimiento de un crimen de estado haciendo pasar la muerte del juez por un crimen pasional en un entorno gay. Gabriela para demostrar la verdad se adentra en los bajos fondos del círculo que rodea a Vladimiro Montesinos. Su objetivo es matarle.",118,2006,Drama,"Fausto Producciones Cinematográficas, Inca Films S.A.",Francisco J. Lombardi,"Melania Urbina, Magdyel Ugaz, Yvonne Frayssinet",Perú,-,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BMzQ0NWFjNDEtYmZhNi00NTVlLTg3YzUtY2RhMmU3NWMyYTg3XkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0778641/?ref_=instant_tt_1&q=Chicha%20tu%20madre,https://www.youtube.com/watch?v=iwHXJolVKiw,Chicha tu madre,"Julio César, un lector amateur de tarot, sobrevive haciendo taxi en la ciudad de Lima, Perú. Al descubrir el embarazo de su hija adolescente, emprende un azaroso proceso de transformación, durante el cual comprenderá que, aunque no es dueño de su destino, sí puede encontrar su salvación.",96,2006,Drama,Primi Quattrini,Gianfranco Quattrini,"Jesús Aranda, Tula Rodríguez, Pablo Brichta",Lima,-,$6.909,Español,-770.388.300,-119.291.300
https://m.media-amazon.com/images/M/MV5BMTczNjAxNzIwMF5BMl5BanBnXkFtZTcwMTcxOTI0MQ@@._V1_.jpg,https://pro.imdb.com/title/tt0476298/?ref_=instant_tt_1&q=Madeinusa,https://www.youtube.com/watch?v=0tRs-Ignk-4,Madeinusa,"Madeinusa es la historia de una niña que vive en un pueblo perdido de la cordillera del Perú. Siguiendo una antigua tradición, los vecinos de este pueblo creen que, como Cristo está muerto desde el Viernes Santo a las tres de la tarde hasta el Domingo de Resurrección, no los ve y, en consecuencia, durante ese tiempo pueden cometer cualquier pecado sin remordimiento alguno.",100,2006,Drama,"Oberón Cinematográfica, Vela Producciones, Wanda Visión S.A.",Claudia Llosa,"Magaly Solier, Carlos J. de la Torre, Yiliana Chong",Perú,-,$243.104,Quechua,-9.189.967,-75.015.152
